ref,from,to,opening-hours,via,intermediates,exceptions,duration,frequency,intermediate-durations
455,Osu,Kaneshie,Mo-Sa 05:00-10:00,,Osu;Osu Shell;SNNIT;Penta Hotel;Danquah Second;Police Headquarters;Sankara;GBC;Mobil;Nima Police Station;Paloma;Equip;Circle Overhead;Circle Neoplan Station;Awudome Cemetery;Pamprom;Kaneshie Last Stop;Kaneshie Market Station,,63.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0;44.0;48.0;52.0;56.0;60.0;64.0;68.0
287,North Industrial Area,Kaneshie Market Station,Mo-Sa 05:00-10:00,,North Industrial Area;Swanlake;Masalakyi;CPP;Green Hand;Obaatanpa;Pentecost;St. Theresa's;Picadilly;Dance Bar;Ga Mantse;Kaneshie Polyclinic;Mother's Inn;Roundabout;Big Boss;Fire Armour;Social Welfare;Kaneshie Last Stop;Kaneshie Market Station,,19,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0
287,Kaneshie Market Station,North Industrial Area,Mo-Sa 05:00-10:00,,Kaneshie Market Station;Social Welfare;Ashfoam;Ashfoam Junction;Access Bank;Melcom;Light House;North Industrial Area,,17.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0
452,Kaneshie,Orgle-Road,Mo-Sa 05:00-10:00,,Kaneshie Market Station;Cocoa Clinic;Five Five;Council;Tsofi;Sakora;Mangoase;Been to;St. Johns;Awonye;Peps;Down;Station;washing bay;Orgle-Road,,20.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0
452,Orgle-Road,Kaneshie,Mo-Sa 05:00-10:00,,Orgle-Road;Awony3;Ayigbe town;Fita;Ayigbe Town Old Station;Bubuashie;Obeyeyie;Cemetry;Ola Balm;Cottage;Bishop;Mighty Power;Ekutu Junction;Kaneshie Last Stop;Kaneshie Market Station,,15,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0
288,Swanlake,Kaneshie,Mo-Sa 05:00-10:00,,Swanlake Last Stop;Obaatanpa;Pentecost;St. Theresa's;Picadilly;Dance Bar;Ga Mantse;Kaneshie Polyclinic;Mother's Inn;Roundabout;Big Boss;Fire Armour;Social Welfare;Kaneshie Last Stop;Kaneshie Market Station,,15,3.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0
288,Kaneshie,Swanlake,Mo-Sa 05:00-10:00,,Kaneshie Market Station;Social Welfare;Roundabout;Kaneshie Polyclinic;Dance Bar;St. Theresa's;Pentecost;Obaatanpa;Green Hand;CPP;Masalakyi;Swanlake Last Stop,,12,3.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0
290,Dansoman Last Stop,Kaneshie Takoradi Station,Mo-Sa 05:00-10:00,,Dansoman Last Stop;Kofi ne Ama;Seven Great;Exhibition (Dansoman);Dansoman Market;Dansoman Police Station;Dansoman Control;Emmanuel Presby;Sahara;Beecham;Mama's Inn;Dansoman Roundabout;MTN;Paa Willie;Zongo Junction;Asoredan ho;Dansoman Junction;Kaneshie Takoradi Station,,27.0,8.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0
290,Kaneshie Takoradi Station,Dansoman Last Stop,Mo-Sa 05:00-10:00,,Kaneshie Takoradi Station;Zongo Junction;Flamingo;Mama's Inn;Beecham;Sahara;Emmanuel Presby;Dansoman Control;Dansoman Police Station;Dansoman Market;Exhibition (Dansoman);Seven Great;Kofi ne Ama;Dansoman Last Stop,,19.0,8.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0
291,Korle Bu,Kaneshie Takoradi Station,Mo-Sa 05:00-10:00,,Korle Bu;Awotsɛ Kojo;Plaza;Mamprobi Station;Sempe First;Sempe Second;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Zongo Junction;Asoredan ho;Dansoman Junction;Kaneshie Takoradi Station,,16,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0
291,Kaneshie Takoradi Station,Korle Bu,Mo-Sa 05:00-10:00,,Kaneshie Takoradi Station;Zongo Junction;Pipeier Naa;Black Smith;Radio Gold;Salvation Army;Sempe First;Sempe Second;Mamprobi Station;Mamprobi Post Office;Plaza;Electricity;Awotsɛ Kojo;Korle Bu,,14,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0
447,Accra New Tema Station,Opetekwei,Mo-Sa 05:00-10:00,,Accra New Tema Station;Tema Station Union of GPRTU;Court;Post Office;UTC;Korle-Bu Barber;Korle Bu;Total;New Station;Awotsɛ Kojo;Plaza;Rainbow;Mamprobi Methodist;Akoshi Junction Mamprobi;IBE;Abodoo Bridge;Banana Inn;Mr Mensah;Exhibition;Seven Great;Kofi ne Ama;Opetekwei,,82.0,10.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0;44.0;48.0;52.0;56.0;60.0;64.0;68.0;72.0;76.0;80.0;84.0
447,Opetekwei,Accra New Tema Station,Mo-Sa 05:00-10:00,,Opetekwei;Atomic;Agege Last Stop;Agege;205;Bamboi;Methodist;Mamprobi Methodist;Abodwe;Rainbow;Mamprobi Post Office;Plaza;Electricity;Awotsɛ Kojo;New Station;Total;Korle Bu;Korle-Bu Barber;Lighthouse;One Way;Ussher Fort;Accra Bishop;Ama;Accra New Tema Station,,49.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0
293,Mamprobi C Lante,Kaneshie Takoradi Station,Mo-Sa 05:00-10:00,,Lantemame;Tea Gadern;Extra O;Anna Larbi;Kakalika;Girl School;Abodwe;Liju;Sempe Second;Sempe First;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Zongo Junction;Asoredan ho;Dansoman Junction;Kaneshie Takoradi Station,,20,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0
293,Kaneshie Takoradi Station,Mamprobi C Lante,Mo-Sa 05:00-10:00,,Kaneshie Takoradi Station;Zongo Junction;Pipeier Naa;Black Smith;Radio Gold;Salvation Army;Sempe Second;Abodwe;Girl School;Kakalika;Tea Gadern;Alomo Junction;Lantemame,,27.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0
436,Official Town,Odorkor,Mo-Sa 05:00-10:00,,Official Town;Odorkor,,11.0,10.0,0.0;6.0
436,Odorkor,Official Town,Mo-Sa 05:00-10:00,,Odorkor;Market;Macedonia;Blue Kiosk;Mangoase;Official Town,,16.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0
295,New Russia Last Stop,Kaneshie Takoradi Station,Mo-Sa 05:00-10:00,,New Russia Last Stop;Okwahu Motors;Mars Junction;Paa Willie;Ashtown;Flamingo;Kembs Hotel;JT;Kateco;Central University;Kant;Ashley's;Dansoman Trotro Station;Kaneshie Takoradi Station,,14,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0
295,Kaneshie Takoradi Station,New Russia Last Stop,Mo-Sa 05:00-10:00,,Kaneshie Takoradi Station;Zongo Junction;Club Corner;Flamingo;Ashtown;Paa Willie;Mars Junction;Okwahu Motors;Slow Down;New Russia Last Stop,,10,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0
296,Russia Last Stop,Kaneshie Takoradi Station,Mo-Sa 05:00-10:00,,Russia;Paa Willie;Ashtown;Flamingo;Seventh Day Adventist;Kembs Hotel;JT;Kateco;Central University;Kant;Ashley's;Dansoman Trotro Station;Kaneshie Takoradi Station,,13,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0
296,Kaneshie Takoradi Station,Russia Last Stop,Mo-Sa 05:00-10:00,,Kaneshie Takoradi Station;Zongo Junction;Club Corner;Flamingo;Ashtown;Paa Willie;Russia,,14.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0
435,Kasoa,Odorkor,Mo-Sa 05:00-10:00,,Kasoa;Amanfrom;Washing Bay;Galelia Market;Galelia;Tuba;Broadcasting;Mile Eleven;Ayigbe Town;Bortianor;Shoprite;SCC;Weija Barrier;Modex;Tetegu;McCarthy;Mallam Junction;Sakaman;Busia Junction;Cold Store;Odorkor;Odorkor (Main Bus stop),,34.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0
435,Odorkor,Kasoa,Mo-Sa 05:00-10:00,,Odorkor (Main Bus stop);Mallam Market;Mallam Junction;McCarthy Junction;Mendskrom;Weija Junction;Tetegu;Modex;Weija Barrier;Block Factory;SCC;Shoprite;Bortianor;Ayigbe Town;Mile Eleven;Broadcasting;Tuba;Chinese;Brigade;Galelia;Galelia Market;Washing Bay;Iron City;Amanfrom;Pink FM;Second;Kasoa,,34.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0
299,Abeka Lapaz,Korle Bu,Mo-Sa 05:00-10:00,,Abeka Lapaz;Lapaz Market;Fly top;Free Pipe;Adom Junction;PnP Junction;Abeka Total;Old Stop;Swanlake;Masalakyi;CPP;Green Hand;Obaatanpa;Pentecost;St. Theresa's;Picadilly;Dance Bar;Awudome Cemetery;State Transport;Total;Ayigbe Town;Mortuary;Junction;Korle-Bu Barber;New Station;Korle Bu,,47.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0
299,Korle Bu,Abeka Lapaz,Mo-Sa 05:00-10:00,,Korle Bu;New Station;Total;Korle-Bu Barber;Accra Royal;Mortuary;Roundabout;Azumah Nelson Complex;Dance Bar;St. Theresa's;Pentecost;Obaatanpa;Green Hand;CPP;Masalakyi;Swanlake;Old Stop;Sunlight;Second;Abeka Total;Total Curve;Abeka Bcos Junction;PnP Junction;Adom Junction;Free Pipe;Abeka Main Market;Fadama;Eno;Fadama Junction;Abeka Post Office;Abotare;Abeka Lapaz Last Stop;Abeka Lapaz,,47.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0
301,Kasoa,Korle Bu,Mo-Sa 05:00-10:00,,Kasoa;Amanfrom;Washing Bay;Galelia Market;Galelia;Brigade;Tuba;Broadcasting;Mile Eleven;Ayigbe Town;Bortianor;Shoprite;SCC;Weija Barrier;Modex;Tetegu;McCarthy;Mallam Junction;Sakaman;Odorkor;Atico;Mataheko Quarters;Accra Academy;First Light;Kaneshie First Bridge;Zongo Junction;Pipeier Naa;Black Smith;Radio Gold;Salvation Army;Sempe First;Sempe Second;Plaza;Electricity;Awotsɛ Kojo;Korle Bu,,77.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0
301,Korle Bu,Kasoa,Mo-Sa 05:00-10:00,,Korle Bu;Awotsɛ Kojo;Plaza;Mamprobi Station;Sempe First;Sempe Second;Salvation Army;Korle Bu Junction;Radio Gold;Black Smith;Pipeier Naa;Kasoa Station;Zongo Junction;Club Corner;Seventh Day Adventist;Kembs Hotel;JT;Kateco;First Light;Odorkor (Main Bus stop);Mallam Market;McCarthy Junction;Benjy's;Jayeemens;Mendskrom;Weija Junction;Tetegu;Modex;Weija Barrier;Block Factory;SCC;Shoprite;Bortianor;Ayigbe Town;Mile Eleven;Broadcasting;Tuba;Chinese;Kalabule;Brigade;Galelia;Galelia Market;Washing Bay;Iron City;Amanfrom;Pink FM;Second;Kasoa,,57.0,10,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0;33.0;34.0;35.0;36.0;37.0;38.0;39.0;40.0;41.0;42.0;43.0;44.0;45.0;46.0;47.0
431,Korle Bu,Circle Odorna,Mo-Sa 05:00-10:00,,Korle Bu;New Station;Total;Korle Bu;Korle-Bu Barber;Accra Royal;Mortuary;Total;Roundabout;State Transport;Neoplan;Circle Last Stop,,37.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0
431,Circle Odorna,Korle Bu,Mo-Sa 05:00-10:00,,Circle;Circle Neoplan Station;Awudome Cemetery;State Transport;Abossey Okai;Total;Ayigbe Town;Mortuary;Junction;Korle-Bu Barber;Korle Bu;Total;New Station;Korle Bu,,37.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0
305,Dansoman,Kaneshie,Mo-Sa 05:00-10:00,,Dansoman Last Stop;Kofi ne Ama;Seven Great;Exhibition (Dansoman);Dansoman Market;Dansoman Police Station;Dansoman Control;Emmanuel Presby;Sahara;Beecham;Mama's Inn;Dansoman Roundabout;MTN;Dansoman First Stop;Dansoman Polyclinic;Abomatte;Akukofoto;Wesley Grammar;Asoredanho Curve;Dansoman Asoredanho;1 plus 1;Mataheko Pharmacy;Mataheko Police Quarters;JT;Kateco;Central University;Kant;Ashley's;Dansoman Trotro Station;Kaneshie,,32.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0
305,Kaneshie,Dansoman,Mo-Sa 05:00-10:00,,Kaneshie;JT;Peace Clinic;Mataheko Police Quarters;Mataheko Pharmacy;1 plus 1;Dansoman Asoredanho;Asoredanho Curve;Akukofoto;Abomatte;Dansoman Polyclinic;Dansoman First Stop;Zodiac;Dansoman Roundabout;King Solomon;Mama's Inn;Beecham;Sahara;Emmanuel Presby;Dansoman Control;Dansoman Police Station;Dansoman Market;Exhibition (Dansoman);Seven Great;Kofi ne Ama;Dansoman Last Stop,,32.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0
428,Tsui Bleoo,Circle Odorna,Mo-Sa 05:00-10:00,,Tsui Bleoo;Lekma Hospital;Junction;Hotel;Rasta;Junction;Telephone;Total;Police Station La;Polyclinic;Veterinary;Labone;Danquah First;Danquah Second;Police Headquarters;Sankara;GBC;Mobil;Nima Police Station;Paloma;Equip;Circle;Circle Overhead,,75.0,5.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0;63.0;66.0
428,Circle Odorna,Tsui Bleoo,Mo-Sa 05:00-10:00,,Circle;Multi Choice;Kanda;Mobil;GBC First;GBC Second;Police Headquarters;Fire Service;Labone;Veterinary;Curve;Polyclinic;Kpogas;Olympia;La Beach Hotel;Container;Block Factory;Rasta;Curve;Curve;Junction;ECG;Lekma Hospital;Lekma;Boola ho;Tsui Bleoo,,37.0,5.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0
99,Legon,Achimota,Mo-Sa 05:00-10:00,,Legon;Okponglo Roundabout;Night Market;Legon Primary School;University Primary Roundabout;Ayido;18;Legon Barrier;GIMPA;Forestry Commission;Pure Fire;Kisseman Junction;Christian Village Jucntion;Polo;Achimota Hospital Curve;Achimota Hospital;Achimota Club House;Six Pillars;Achimota New Station,,26.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0
99,Achimota,Legon,Mo-Sa 05:00-10:00,,Achimota New Station;Achimota Club House;PWD;Achimota Hospital;Golf Park;Polo;Christian Village;Kisseman Junction;Pure Fire;Airways Junction;Forestry Commission;GIMPA;Legon Barrier;Ayido;Legon Primary School;Night Market;Okponglo Roundabout;Legon Traffic Light,,27.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0
423,Nima Mamobi,Odorna,Mo-Sa 05:00-10:00,,Nima Overhead;Maamobi;Mawarko;Gutter;Traffic;Nima Roundabout;Nima Police Station;Paloma;Equip;Circle,,45.0,10.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0
423,Odorna,Nima Mamobi,Mo-Sa 05:00-10:00,,Circle;Paloma;Multi Choice;Kanda;Nima Police Station;Nima Roundabout;Gutter;Mawarko;Maamobi;Nima Overhead,,27.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0
419,Agblezah,Odorna,Mo-Sa 05:00-10:00,,Agblezah;Lekma Hospital;Junction;Roundabout;Hotel;Rasta;Junction;Telephone;Total;Sergeant Adjettey;Polyclinic;Veterinary;Labone;Bridge;Danquah First;Danquah Second;Police Headquarters;Sankara;GBC;Mobil;Nima Police Station;Paloma;Equip;Circle Overhead;Commercial Bank;Odorna,,50.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0
419,Odorna,Agblezah,Mo-Sa 05:00-10:00,,Odorna;Mr. Biggs;Paloma;Multi Choice;Kanda;Mobil;GBC First;GBC Second;Police Headquarters;Fire Service;Labone;Curve;Polyclinic;Kpogas;La Beach Hotel;Container;Block Factory;Rasta;Curve;Curve;Junction;Tsui Bleoo;Lekma;Agblezah;Agblezah,,50.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0
416,Cantonments,Accra New Tema Station,Mo-Sa 05:00-10:00,,Cantonments;IGP;Junction;Roundabout;Aquinas;Prisons;Police Hospital;Koala;Afridom;SSNIT;Frankies;Papaye;Shell;Osu Shell;Presby School Junction;Five junction;Second Stop/Ataa Adjettey;Castle Junction;Ministries;Agric;Accra New Tema Station,,53.0,2.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0;51.0;54.0;57.0;60.0
416,Accra New Tema Station,Cantonments,Mo-Sa 05:00-10:00,,Accra New Tema Station;Ministries;First Stop;Second Stop;Five Junction;Osu;Osu Shell;SSNIT;Penta Hotel;Police Hospital;Prisons;Morning Star;Junction;IGP;Cantonments,,37.0,2.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0
66,Nima,Accra,Mo-Sa 05:00-10:00,,Nima;Nima Market;Nima Roundabout;Sunny FM;Second Gate;Ridge;Accra High;OXL Junction;Accra Technical University;Kinbu;Accra New Tema Station,,33.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0
66,Accra,Nima,Mo-Sa 05:00-10:00,,Accra New Tema Station;National Theatre;Children's Park First;Children's Park Second;Ridge Hospital;Accra High School;Kanda Roundabout Junction;Frankies Hotel Junction;Nima Mamobi;Nima,,37.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0
71,American House,Accra End of the Motorway,Mo-Sa 05:00-10:00,,American House;Beduwa;Shiashie;Accra End of the Motorway,,21.0,10.0,0.0;5.0;10.0;15.0
71,Accra End of the Motorway,American House,Mo-Sa 05:00-10:00,,Accra End of the Motorway;Bawaleshie Second;Beduwa;American House,,17.0,10.0,0.0;4.0;8.0;12.0
415,Nyaho,Nima Station,Mo-Sa 05:00-10:00,,Container First;Second Container;School Junction;Nyaho;T Junction;Chinese;Chinese Curve;High Flow;Bostal First;Bostal Second;Bostal;Sign Board;Jack and Jill;SGS;Frensho;Power House;Accra Girls;Konka;Nima Overhead;Maamobi;Mawarko;Gutter;Borla;Nima Station,,30.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0
415,Nima Station,Nyaho,Mo-Sa 05:00-10:00,,Nima Station;Alaska;Mawarko;Maamobi;Nima Overhead;Jack and Jill;Nyaho,,25.0,10.0,0.0;4.0;8.0;12.0;16.0;20.0;24.0
90,Darkuman,Achimota,Mo-Sa 05:00-10:00,,Darkuman Junction;Masalatsi;Quarters;Circle Station;Alafia;Bombay;Fadama Junction;Abrantie;Lapaz Market;Fly top;Suzzy's Inn;Akweteyman;Achimota Overhead;Achimota Old Station;Achimota New Station,,44.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0
90,Achimota,Darkuman,Mo-Sa 05:00-10:00,,Achimota New Station;Achimota Overhead;Achimota Old Station;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction;Abeka Lapaz;Las Palmas;Abrantie;Nyamekye;Mampong;Fadama Junction;Alafia;Circle Station;Quarters;Darkuman Junction,,29.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0
414,Madina,Nima Station,Mo-Sa 05:00-10:00,,Madina;Fire Stone;Masalaachi;Madina Zongo Junction;Atomic First;Atomic Second;Presec;UPS;Legon Second;Legon First;Power House;Okponglo;Legon Second Gate;Shiashie;Spanner;Container First;Second Container;School Junction;Nyaho;T Junction;Bostal Second;Bostal;Sign Board;Jack and Jill;SGS;Frensho;Power House;Accra Girls;Konka;Nima Overhead;Maamobi;Mawarko;Gutter;Alaska (Nima Maamobi);Borla;Traffic;Nima Station,,89.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0;34.0;36.0;38.0;40.0;42.0;44.0;46.0;48.0;50.0;52.0;54.0;56.0;58.0;60.0;62.0;64.0;66.0;68.0;70.0;72.0
414,Nima Station,Madina,Mo-Sa 05:00-10:00,,Nima Station (Gutter Station);Mawarko;Maamobi;Nima Overhead;Jack and Jill;Shangrila;Spanner;Shiashie;Okponglo;Legon First;Legon Second;UPS;Presec;Atomic First;Madina,,49.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0
410,Sukura Station,Nima Overhead,Mo-Sa 05:00-10:00,,Sukura;Total;Roundabout;State Transport;Neoplan;Circle Last Stop;Multi Choice;Kanda;Nima Police Station;Nima Roundabout;Nima Station,,38.0,10.0,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0
410,Nima Overhead,Sukura Station,Mo-Sa 05:00-10:00,,Nima Station;Nima Market;Nima Roundabout;Nima Police Station;Paloma;Equip;Circle Overhead;Circle Neoplan Station;Awudome Cemetery;State Transport;Roundabout;Abossey Okai;Total;Happy Days;Laskia;Great Lamptey;Zongo Junction;Club Corner;Flamingo;Banku Junction;Borla Junction;Sukura,,29.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0
405,Lapaz-Nii Boi Junction,Nima Overhead,Mo-Sa 05:00-10:00,,Nii Boi Town Junction;Abeka Lapaz;Abeka Lapaz;Lapaz Market;Fly top;Suzzy's Inn;Akweteyman;Achimota Overhead;Abofu;CP;Abelenkpe Junction;Dzorwulu Junction;Ebony;Roman Ridge 2nd;Konka;Nima Overhead;Maamobi;Mawarko;Gutter;Alaska (Nima Maamobi);Borla;Traffic;Nima Station,,30.0,10.0,0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0
405,Nima Overhead,Lapaz-Nii Boi Junction,Mo-Sa 05:00-10:00,,Nima Station;Alaska;Mawarko;Maamobi;Nima Overhead;Roman Ridge;Ebony;Dzorwulu Junction;Abelenkpe Junction;CP;Abofu;Achimota Overhead;Akweteyman;Fly Top;Lapaz Market;Bambolino;Nii Boi Town Junction,,30.0,10.0,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0;28.0;30.0;32.0
107,Ofankor,Achimota,Mo-Sa 05:00-10:00,,Ofankor Taxi Rank;Ofankor Barrier;Income Tax;Spot M;Taifa Junction;Tantra Hills;St. Johns;Mile 7;ABC Junction;Neoplan;Achimota New Station,,20.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0
107,Achimota,Ofankor,Mo-Sa 05:00-10:00,,Achimota New Station;Neoplan;ABC Junction;Mile 7;Best Point;Achimota Mall;St. Johns;St John's Second;Tantra Hills;Taifa Junction;Spot M;Income Tax;Ofankor Barrier;Ofankor Taxi Rank,,22.0,10,0.0;2.0;4.0;6.0;8.0;10.0;12.0;14.0;16.0;18.0;20.0;22.0;24.0;26.0
192,Fadama Last stop,Circle,Mo-Sa 05:00-10:00,,New Fadama;New Fadama (Market);North Last Stop;Point 4;Ziggy;Demod;Assemblies of God;Amankwah;CMB Flats;North Kaneshie;Adodo;Meridian Chemist;Mesco;Melcom;New Melcom;Circle Asoredanho;Circle,,57.0,10,0.0;3.0;6.0;9.0;12.0;15.0;18.0;21.0;24.0;27.0;30.0;33.0;36.0;39.0;42.0;45.0;48.0
192,Circle,Fadama Last stop,Mo-Sa 05:00-10:00,,Circle;Circle Neoplan Station;Fan Milk Junction;Ashfoam;Ashfoam Junction;Access Bank;Melcom;Adodo;CMB Flats;Amankwah;Demod;Point 4;Point 4 (last stop);Market;Musulley;School;New Fadama,,63.0,10,0.0;4.0;8.0;12.0;16.0;20.0;24.0;28.0;32.0;36.0;40.0;44.0;48.0;52.0;56.0;60.0;64.0
200,New Melcom,Circle,Mo-Sa 05:00-10:00,,New Melcom;Circle Asoredanho;Circle,,7.0,5.0,0.0;2.0;4.0
