freq,to,fr,ref,dur
35,Kotobabi Down/Polo park,Mallam Attah,357,38
15,Adenta Station,Achimota,81,66
15,Achimota,Adenta Station,81,49
20,Korle Bu,Abeka Lapaz,48,37
20,Abeka Lapaz,Korle Bu,48,47
5,Mallam Atta,Achimota,356,44
5,Achimota,Mallam Atta,356,46
10,Kaneshie,Abeka Lapaz,46,75
10,Abeka Lapaz,Kaneshie,46,72
10,Bubiashie,Abeka Lapaz,43,35
10,Abeka Lapaz,Bubiashie,43,18
30,Ashiaman,Abeka Lapaz,40,58
30,Abeka Lapaz,Ashiaman,40,53
20,Asofan,Abeka Lapaz,41,75
20,Abeka Lapaz,Asofan,41,49
40,Kwashieman Junction,Accra CMB,322,38
40,Accra CMB,Kwashieman Junction,322,74
10,Sowutuom,Kwashieman Junction,326,15
10,Kwashieman Junction,Sowutuom,326,31
15,Kwashieman Junction,Antie Aku,324,26
15,Antie Aku,Kwashieman Junction,324,22
5,Santa Maria,Kwashieman Junction,325,10
5,Kwashieman Junction,Santa Maria,325,10
20,Adeyman,Abeka Lapaz,9,94
20,Abeka Lapaz,Adeyman,9,94
40,Rawlings Park,Kwashieman Junction,328,53
40,Kwashieman Junction,Rawlings Park,328,52
5,New Melcom,Circle,200,21
5,Circle,New Melcom,200,7
7,Orgle Road,Circle,203,
7,Circle,Orgle Road,203,
5,Novotel,Circle,202,17
5,Circle,Novotel,202,15
5,Osu RE,Circle,205,81
5,Circle,Osu RE,205,32
5,Osu Presby,Circle,204,22
5,Circle,Osu Presby,204,21
5,Ridge Hospital,Circle,207,11
5,Circle,Ridge Hospital,207,14
15,Osu RE,Circle,206,26
15,Circle,Osu RE,206,24
5,Swanlake Last Stop,Circle,209,17
5,Circle,Swanlake Last Stop,209,13
5,Stadium,Circle,208,12
5,Circle,Stadium,208,16
60,Nima,Ashaiman,394,59
60,Ashaiman,Nima,394,80
15,East Legon,Circle,255,71
15,Circle,East Legon,255,55
10,37,Achimota,76,24
10,Achimota,37,76,38
15,Caprice,Accra New Town,72,20
15,Accra New Town,Caprice,72,20
10,American House,Accra End of the Motorway,71,17
10,Accra End of the Motorway,American House,71,21
5,Adjringanor/Otanor,Accra End of the Motorway,70,17
5,Accra End of the Motorway,Adjringanor/Otanor,70,33
10,Soko,Accra Post Office,486,38
10,Accra Post Office,Soko,486,31
15,Soko,Accra Post Office,485,36
15,Accra Post Office,Soko,485,32
50,Shiabu,Agbogbloshie,480,46
50,Agbogbloshie,Shiabu,480,63
10,Taifa,Abeka Lapaz,7,32
10,Abeka Lapaz,Taifa,7,36
10,Korle Bu,Kaneshie Takoradi Station,291,14
10,Kaneshie Takoradi Station,Korle Bu,291,16
10,Kaneshie,Camara,270,20
10,Camara,Kaneshie,270,21
10,Chemuna,Accra Salaga,473,20
10,Accra Salaga,Chemuna,473,20
irregular,Osu Penta Hotel,Accra Rawlings Park,470,27
irregular,Accra Rawlings Park,Osu Penta Hotel,470,44
7,Camara,Accra Salaga,476,25
7,Accra Salaga,Camara,476,25
10,Legon,Dome,351,57
10,Dome,Legon,351,37
20,New Fadama,Accra CMB,367,37
20,Accra CMB,New Fadama,367,34
30,Ashaiman,Abeka Lapaz,337,35
30,Abeka Lapaz,Ashaiman,337,37
10,Pigfarm,Accra New Tema Station,376,35
10,Accra New Tema Station,Pigfarm,376,32
15,Zambrama Line,Odorna-Circle,539,31
15,Odorna-Circle,Zambrama Line,539,45
10,Afropa,Kaneshie,266,26
10,Kaneshie,Afropa,266,18
